year,zone,meet_id,event_id,event_name,event_key,threshold_score,event_sort,source_url
2026,A,12878,30520,Group A Girls 1m (16-18),Group A Girls 1M,274.281,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30520
2026,A,12878,30525,Group A Girls 3m (16-18),Group A Girls 3M,284.567,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30525
2026,A,12878,30645,Group A Boys 1m (16-18),Group A Boys 1M,291.031,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30645
2026,A,12878,30650,Group A Boys 3m (16-18),Group A Boys 3M,269.381,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30650
2026,A,12878,30490,Group B Girls 1m (14-15),Group B Girls 1M,182.006,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30490
2026,A,12878,30495,Group B Girls 3m (14-15),Group B Girls 3M,177.395,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30495
2026,A,12878,30615,Group B Boys 1m (14-15),Group B Boys 1M,201.022,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30615
2026,A,12878,30620,Group B Boys 3m (14-15),Group B Boys 3M,217.289,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12878_30620
2026,B,12879,30520,Group A Girls 1m (16-18),Group A Girls 1M,274.281,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30520
2026,B,12879,30525,Group A Girls 3m (16-18),Group A Girls 3M,284.567,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30525
2026,B,12879,30645,Group A Boys 1m (16-18),Group A Boys 1M,291.031,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30645
2026,B,12879,30650,Group A Boys 3m (16-18),Group A Boys 3M,269.381,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30650
2026,B,12879,30490,Group B Girls 1m (14-15),Group B Girls 1M,182.006,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30490
2026,B,12879,30495,Group B Girls 3m (14-15),Group B Girls 3M,177.395,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30495
2026,B,12879,30615,Group B Boys 1m (14-15),Group B Boys 1M,201.022,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30615
2026,B,12879,30620,Group B Boys 3m (14-15),Group B Boys 3M,217.289,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12879_30620
2026,C,12880,30520,Group A Girls 1m (16-18),Group A Girls 1M,274.281,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30520
2026,C,12880,30525,Group A Girls 3m (16-18),Group A Girls 3M,284.567,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30525
2026,C,12880,30645,Group A Boys 1m (16-18),Group A Boys 1M,291.031,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30645
2026,C,12880,30650,Group A Boys 3m (16-18),Group A Boys 3M,269.381,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30650
2026,C,12880,30490,Group B Girls 1m (14-15),Group B Girls 1M,182.006,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30490
2026,C,12880,30495,Group B Girls 3m (14-15),Group B Girls 3M,177.395,29,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30495
2026,C,12880,30615,Group B Boys 1m (14-15),Group B Boys 1M,201.022,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30615
2026,C,12880,30620,Group B Boys 3m (14-15),Group B Boys 3M,217.289,30,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12880_30620
2026,D,12882,30520,Group A Girls 1m (16-18),Group A Girls 1M,274.281,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12882_30520
2026,D,12882,30525,Group A Girls 3m (16-18),Group A Girls 3M,284.567,19,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12882_30525
2026,D,12882,30645,Group A Boys 1m (16-18),Group A Boys 1M,291.031,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12882_30645
2026,D,12882,30650,Group A Boys 3m (16-18),Group A Boys 3M,269.381,20,https://new.divemeets.com/QualificationLists/USADivingJOZones_2026/ShowQualifiers/12882_30650
